Embryo,Label,Stock,Genotype,View,Side,Fold,Position,Type,Comment
eve-gap_dorsal_2_z3_t53s_E14,eve-gap_dorsal_2_z3_t53s_E14_L_1,eve,homozygote,dorsal,left,TRUE,ant,EF,
eve-gap_dorsal_2_z3_t53s_E14,eve-gap_dorsal_2_z3_t53s_E14_L_2,eve,homozygote,dorsal,left,TRUE,post,EF,
eve-gap_dorsal_2_z3_t53s_E15,eve-gap_dorsal_2_z3_t53s_E15_R_1,eve,heterozygote,dorsal,right,TRUE,mid,CF,
eve-gap_dorsal_2_z3_t53s_E15,eve-gap_dorsal_2_z3_t53s_E15_L_1,eve,heterozygote,dorsal,left,TRUE,mid,CF,
eve-gap_dorsal_2_z3_t53s_E17,eve-gap_dorsal_2_z3_t53s_E17_R_1,eve,heterozygote,dorsal,right,TRUE,mid,CF,
eve-gap_dorsal_2_z3_t53s_E17,eve-gap_dorsal_2_z3_t53s_E17_L_1,eve,heterozygote,dorsal,left,TRUE,mid,CF,
eve-gap_dorsal_2_z3_t53s_E19,eve-gap_dorsal_2_z3_t53s_E19_R_1,eve,heterozygote,dorsal,right,TRUE,mid,CF,
eve-gap_dorsal_2_z3_t53s_E19,eve-gap_dorsal_2_z3_t53s_E19_L_1,eve,heterozygote,dorsal,left,TRUE,mid,CF,
"Gap,stg[2]_dorsal_1_z3_t60_E1",,stg,heterozygote,dorsal,right,TRUE,mid,CF,
"Gap,stg[2]_dorsal_1_z3_t60_E1",,stg,heterozygote,dorsal,left,TRUE,mid,CF,
"Gap,stg[2]_dorsal_1_z3_t60_E2",,stg,heterozygote,dorsal,right,TRUE,mid,CF,
"Gap,stg[2]_dorsal_1_z3_t60_E2",,stg,heterozygote,dorsal,left,TRUE,mid,CF,
"Gap,stg[2]_dorsal_1_z3_t60_E3",,stg,heterozygote,dorsal,right,TRUE,mid,CF,
"Gap,stg[2]_dorsal_1_z3_t60_E3",,stg,heterozygote,dorsal,left,TRUE,mid,CF,
"Gap,stg[2]_dorsal_1_z3_t60_E3",,stg,heterozygote,dorsal,left,TRUE,post,EF,
"Gap,stg[2]_dorsal_1_z3_t60_E4",,stg,homozygote,dorsal,right,TRUE,mid,CF,
"Gap,stg[2]_dorsal_1_z3_t60_E4",,stg,homozygote,dorsal,right,TRUE,post,EF,
"Gap,stg[2]_dorsal_1_z3_t60_E4",,stg,homozygote,dorsal,left,TRUE,mid,CF,
"Gap,stg[2]_dorsal_1_z3_t60_E5",,stg,heterozygote,dorsal,right,TRUE,mid,CF,
"Gap,stg[2]_dorsal_1_z3_t60_E5",,stg,heterozygote,dorsal,left,TRUE,mid,CF,
"Gap,stg[2]_dorsal_1_z3_t60_E6",,stg,homozygote,dorsal,right,TRUE,mid,CF,
"Gap,stg[2]_dorsal_1_z3_t60_E6",,stg,homozygote,dorsal,left,TRUE,mid,CF,
"Gap,stg[2]_dorsal_1_z3_t60_E7",,stg,heterozygote,dorsal,right,TRUE,mid,CF,
"Gap,stg[2]_dorsal_1_z3_t60_E7",,stg,heterozygote,dorsal,left,TRUE,mid,CF,
"Gap,stg[2]_dorsal_1_z3_t60_E8",,stg,heterozygote,dorsal,right,TRUE,mid,CF,
"Gap,stg[2]_dorsal_1_z3_t60_E8",,stg,heterozygote,dorsal,right,TRUE,post,EF,
"Gap,stg[2]_dorsal_1_z3_t60_E8",,stg,heterozygote,dorsal,left,TRUE,mid,CF,
"Gap,stg[2]_dorsal_1_z3_t60_E8",,stg,heterozygote,dorsal,left,TRUE,post,EF,
"Gap,stg[2]_dorsal_1_z3_t60_E9",,stg,heterozygote,dorsal,right,TRUE,mid,CF,
"Gap,stg[2]_dorsal_1_z3_t60_E9",,stg,heterozygote,dorsal,right,TRUE,post,EF,
"Gap,stg[2]_dorsal_1_z3_t60_E9",,stg,heterozygote,dorsal,left,TRUE,mid,CF,
"Gap,stg[2]_dorsal_1_z3_t60_E10",,stg,homozygote,dorsal,right,TRUE,mid,CF,
"Gap,stg[2]_dorsal_1_z3_t60_E10",,stg,homozygote,dorsal,left,TRUE,mid,CF,
"Gap,stg[2]_dorsal_1_z3_t60_E11",,stg,heterozygote,dorsal,right,TRUE,mid,CF,
"Gap,stg[2]_dorsal_1_z3_t60_E11",,stg,heterozygote,dorsal,right,TRUE,post,EF,
"Gap,stg[2]_dorsal_1_z3_t60_E11",,stg,heterozygote,dorsal,left,TRUE,mid,CF,
"Gap,stg[2]_dorsal_1_z3_t60_E12",,stg,heterozygote,dorsal,right,TRUE,mid,CF,
"Gap,stg[2]_dorsal_1_z3_t60_E12",,stg,heterozygote,dorsal,left,TRUE,mid,CF,
"Gap,stg[2]_dorsal_1_z3_t60_E12",,stg,heterozygote,dorsal,left,TRUE,post,EF,
"Gap,stg[2]_dorsal_1_z3_t60_E13",,stg,heterozygote,dorsal,right,TRUE,mid,CF,
"Gap,stg[2]_dorsal_1_z3_t60_E13",,stg,heterozygote,dorsal,left,TRUE,mid,CF,
"Gap,stg[2]_dorsal_1_z3_t60_E13",,stg,heterozygote,dorsal,left,TRUE,post,EF,
"Gap,stg[2]_dorsal_1_z3_t60_E14",,stg,homozygote,dorsal,right,TRUE,mid,CF,
"Gap,stg[2]_dorsal_1_z3_t60_E14",,stg,homozygote,dorsal,left,TRUE,mid,CF,
"Gap,stg[2]_dorsal_1_z3_t60_E15",,stg,heterozygote,dorsal,right,TRUE,mid,CF,
"Gap,stg[2]_dorsal_1_z3_t60_E15",,stg,heterozygote,dorsal,left,TRUE,mid,CF,
"Gap,stg[2]_dorsal_1_z3_t60_E16",,stg,heterozygote,dorsal,right,TRUE,mid,CF,
"Gap,stg[2]_dorsal_1_z3_t60_E16",,stg,heterozygote,dorsal,left,TRUE,mid,CF,
"Gap,stg[2]_dorsal_1_z3_t60_E16",,stg,heterozygote,dorsal,left,TRUE,post,EF,
"Gap,stg[2]_dorsal_1_z3_t60_E17",,stg,homozygote,dorsal,right,TRUE,mid,CF,
"Gap,stg[2]_dorsal_1_z3_t60_E17",,stg,homozygote,dorsal,left,TRUE,mid,CF,
btd-gap-stg_dorsal_1_z3_t50s_E1,,btd-stg,double homozygote,dorsal,,FALSE,,,No folds
btd-gap-stg_dorsal_1_z3_t50s_E7,,btd-stg,double homozygote,dorsal,,FALSE,,,No folds
rgap_dorsal_1_z3_t60s_E4,,wt,wildtype,dorsal,right,TRUE,mid,CF,
rgap_dorsal_1_z3_t60s_E4,,wt,wildtype,dorsal,right,TRUE,post,EF,
rgap_dorsal_1_z3_t60s_E4,,wt,wildtype,dorsal,left,TRUE,mid,CF,
rgap_dorsal_1_z3_t60s_E5,,wt,wildtype,dorsal,right,TRUE,mid,CF,
rgap_dorsal_1_z3_t60s_E5,,wt,wildtype,dorsal,right,TRUE,post,EF,
rgap_dorsal_1_z3_t60s_E5,,wt,wildtype,dorsal,left,TRUE,mid,CF,
rgap_dorsal_1_z3_t60s_E5,,wt,wildtype,dorsal,left,TRUE,post,EF,
rgap_dorsal_1_z3_t60s_E6,,wt,wildtype,dorsal,right,TRUE,mid,CF,
rgap_dorsal_1_z3_t60s_E6,,wt,wildtype,dorsal,right,TRUE,post,EF,
rgap_dorsal_1_z3_t60s_E6,,wt,wildtype,dorsal,left,TRUE,mid,CF,
rgap_dorsal_1_z3_t60s_E6,,wt,wildtype,dorsal,left,TRUE,post,EF,
rgap_dorsal_1_z3_t60s_E7,,wt,wildtype,dorsal,right,TRUE,mid,CF,
rgap_dorsal_1_z3_t60s_E7,,wt,wildtype,dorsal,right,TRUE,post,EF,
rgap_dorsal_1_z3_t60s_E7,,wt,wildtype,dorsal,left,TRUE,mid,CF,
rgap_dorsal_1_z3_t60s_E8,,wt,wildtype,dorsal,right,TRUE,mid,CF,
rgap_dorsal_1_z3_t60s_E8,,wt,wildtype,dorsal,right,TRUE,post,EF,
rgap_dorsal_1_z3_t60s_E8,,wt,wildtype,dorsal,left,TRUE,mid,CF,
rgap_dorsal_1_z3_t60s_E8,,wt,wildtype,dorsal,left,TRUE,post,EF,
rgap_dorsal_1_z3_t60s_E9,,wt,wildtype,dorsal,right,TRUE,mid,CF,
rgap_dorsal_1_z3_t60s_E9,,wt,wildtype,dorsal,left,TRUE,mid,CF,
rgap_dorsal_1_z3_t60s_E10,,wt,wildtype,dorsal,right,TRUE,mid,CF,
rgap_dorsal_1_z3_t60s_E10,,wt,wildtype,dorsal,left,TRUE,mid,CF,
rgap_dorsal_1_z3_t60s_E10,,wt,wildtype,dorsal,left,TRUE,post,EF,
rgap_dorsal_1_z3_t60s_E11,,wt,wildtype,dorsal,right,TRUE,mid,CF,
rgap_dorsal_1_z3_t60s_E11,,wt,wildtype,dorsal,left,TRUE,mid,CF,
rgap_dorsal_1_z3_t60s_E11,,wt,wildtype,dorsal,left,TRUE,post,EF,
rgap_dorsal_1_z3_t60s_E12,,wt,wildtype,dorsal,right,TRUE,mid,CF,
rgap_dorsal_1_z3_t60s_E12,,wt,wildtype,dorsal,right,TRUE,post,EF,
rgap_dorsal_1_z3_t60s_E12,,wt,wildtype,dorsal,left,TRUE,mid,CF,
rgap_dorsal_1_z3_t60s_E13,,wt,wildtype,dorsal,right,TRUE,ant,EF,
rgap_dorsal_1_z3_t60s_E13,,wt,wildtype,dorsal,right,TRUE,mid,CF,
rgap_dorsal_1_z3_t60s_E13,,wt,wildtype,dorsal,left,TRUE,mid,CF,
rgap_dorsal_1_z3_t60s_E13,,wt,wildtype,dorsal,left,TRUE,post,EF,
rgap_dorsal_1_z3_t60s_E14,,wt,wildtype,dorsal,right,TRUE,mid,CF,
rgap_dorsal_1_z3_t60s_E14,,wt,wildtype,dorsal,right,TRUE,post,EF,
rgap_dorsal_1_z3_t60s_E14,,wt,wildtype,dorsal,left,TRUE,mid,CF,
rgap_dorsal_1_z3_t60s_E14,,wt,wildtype,dorsal,left,TRUE,post,EF,
rgap_dorsal_1_z3_t60s_E15,,wt,wildtype,dorsal,right,TRUE,mid,CF,
rgap_dorsal_1_z3_t60s_E15,,wt,wildtype,dorsal,left,TRUE,ant,EF,
rgap_dorsal_1_z3_t60s_E15,,wt,wildtype,dorsal,left,TRUE,mid,CF,
rgap_dorsal_1_z3_t60s_E16,,wt,wildtype,dorsal,right,TRUE,mid,CF,
rgap_dorsal_1_z3_t60s_E16,,wt,wildtype,dorsal,right,TRUE,post,EF,
rgap_dorsal_1_z3_t60s_E16,,wt,wildtype,dorsal,left,TRUE,mid,CF,
rgap_dorsal_1_z3_t60s_E17,,wt,wildtype,dorsal,right,TRUE,mid,CF,
rgap_dorsal_1_z3_t60s_E17,,wt,wildtype,dorsal,right,TRUE,post,EF,
rgap_dorsal_1_z3_t60s_E17,,wt,wildtype,dorsal,left,TRUE,mid,CF,
rgap_dorsal_1_z3_t60s_E17,,wt,wildtype,dorsal,left,TRUE,post,EF,
rgap_dorsal_1_z3_t60s_E18,,wt,wildtype,dorsal,right,TRUE,mid,CF,
rgap_dorsal_1_z3_t60s_E18,,wt,wildtype,dorsal,right,TRUE,post,EF,
rgap_dorsal_1_z3_t60s_E18,,wt,wildtype,dorsal,left,TRUE,mid,CF,
rgap_dorsal_1_z3_t60s_E18,,wt,wildtype,dorsal,left,TRUE,post,EF,
rgap_dorsal_1_z3_t60s_E19,,wt,wildtype,dorsal,right,TRUE,mid,CF,
rgap_dorsal_1_z3_t60s_E19,,wt,wildtype,dorsal,right,TRUE,post,EF,
rgap_dorsal_1_z3_t60s_E19,,wt,wildtype,dorsal,left,TRUE,mid,CF,
rgap_dorsal_1_z3_t60s_E19,,wt,wildtype,dorsal,left,TRUE,post,EF,
rgap_dorsal_1_z3_t60s_E20,,wt,wildtype,dorsal,right,TRUE,mid,CF,
rgap_dorsal_1_z3_t60s_E20,,wt,wildtype,dorsal,left,TRUE,mid,CF,
rgap_dorsal_1_z3_t60s_E21,,wt,wildtype,dorsal,right,TRUE,mid,CF,
rgap_dorsal_1_z3_t60s_E21,,wt,wildtype,dorsal,right,TRUE,post,EF,
rgap_dorsal_1_z3_t60s_E21,,wt,wildtype,dorsal,left,TRUE,mid,CF,
rgap_dorsal_1_z3_t60s_E21,,wt,wildtype,dorsal,left,TRUE,post,EF,
rgap_dorsal_1_z3_t60s_E22,,wt,wildtype,dorsal,right,TRUE,mid,CF,
rgap_dorsal_1_z3_t60s_E22,,wt,wildtype,dorsal,right,TRUE,post,EF,
rgap_dorsal_1_z3_t60s_E22,,wt,wildtype,dorsal,left,TRUE,mid,CF,
rgap_dorsal_1_z3_t60s_E23,,wt,wildtype,dorsal,right,TRUE,mid,CF,
rgap_dorsal_1_z3_t60s_E23,,wt,wildtype,dorsal,left,TRUE,mid,CF,
